 ,Team,Position,Type,Cap Hit,Log(CapHit),Predicted Log(CapHit),Value,Signing Agent,Signing GM,Age,GP,Points/60,iCF/60,iSCF/60,iHDCF/60,Giveaways/60,Takeaways/60,Hits/60,Shots Blocked/60
Jani Nyman,SEA,R,ELC,891666,13.700846901980304,13.789333951450727,0.08848704947042307,Patrik Aronsson,Ron Francis,21,28,1.42,14.19,7.91,3.24,2.64,0.2,4.66,1.22
Jared McCann,SEA,L,STD,5000000,15.424948470398375,15.211038754505473,-0.21390971589290153,Joseph Resnick,Ron Francis,30,52,2.8,16.01,7.93,2.81,4.14,0.98,2.81,1.76
Jordan Eberle,SEA,R,STD,4750000,15.373655176010823,15.621604536807622,0.24794936079679886,Craig Oster,Ron Francis,36,80,2.24,12.62,7.96,4.71,2.27,0.97,2.23,1.75
Matthew Beniers,SEA,C,STD,7142857,15.781623394337107,14.711695128050202,-1.0699282662869045,Pat Brisson,Ron Francis,23,82,1.9,12.15,8.12,3.76,3.11,0.8,1.18,2.62
Oscar Fisker Molgaard,SEA,C,ELC,891666,13.700846901980304,13.371790301746167,-0.3290566002341375,Claude Lemieux,Ron Francis,21,13,1,7.5,5,3,4,0.5,4.5,4
Ryan Winterton,SEA,C,ELC,828333,13.627170526430188,14.262758002064572,0.6355874756343844,John Walters,Ron Francis,22,68,1.32,11.71,6.85,2.73,2.73,1.55,5.45,2.43
Shane Wright,SEA,C,ELC,886666,13.69522364020979,14.375019005823901,0.6797953656141118,Kurt Overhardt,Ron Francis,22,74,1.58,11.04,7.64,3.88,3.94,0.7,3,3.47
Vince Dunn,SEA,D,STD,7350000,15.81021087118902,15.24007653267967,-0.5701343385093498,Patrick Morris,Ron Francis,29,81,1.5099999999999998,12.99,3.45,0.51,3.01,0.99,0.92,2.94
Bobby McMann,SEA,C,STD,1350000,14.115615150414612,15.159774572174689,1.0441594217600763,Brian & Scott Bartlett,Brad Treliving,30,78,2.2199999999999998,15.98,8.35,3.43,2.12,0.87,7.97,1.3
Cam Fowler,STL,D,STD,6500000,15.687312734865866,15.350007488240438,-0.33730524662542827,Pat Brisson,Bob Murray,34,82,1.04,7.84,2.33,0.21,2.19,0.66,0.31,2.5
Alexei Toropchenko,STL,R,STD,1700000,14.346138809026444,14.19129286466323,-0.1548459443632133,Patrick Morris,Doug Armstrong,26,65,0.8500000000000001,8.7,5.7,2.85,2.31,0.62,10.16,4.31
Colton Parayko,STL,D,STD,6500000,15.687312734865866,15.177695882899213,-0.5096168519666531,Gerry Johannson,Doug Armstrong,33,77,0.63,8.64,2.32,0.39,3.23,1.23,3.34,6.04
Dalibor Dvorský,STL,R,ELC,886666,13.69522364020979,14.127509734239624,0.4322860940298341,J.P. Barry,Doug Armstrong,21,71,1.24,10.67,5.78,2.42,2.65,0.53,4.54,1.41
Dylan Holloway,STL,L,STD,2290457,14.644261918939089,14.780670434422149,0.1364085154830601,Blake Robson,Doug Armstrong,24,59,2.85,16.49,9.69,3.4,2.34,0.72,7.19,2.28
Jake Neighbours,STL,L,STD,3750000,15.137266397946593,14.283111688059835,-0.8541547098867586,Dave Cowan,Doug Armstrong,24,69,2.06,9.19,7.25,4.28,2.46,0.8,8.68,2.06
Jimmy Snuggerud,STL,R,ELC,950000,13.764217263576723,14.776036503873048,1.0118192402963242,Ben Hankinson,Doug Armstrong,22,70,2.62,17.2,9.86,3.95,3.13,1.23,3.65,2
Jordan Kyrou,STL,R,STD,8125000,15.910456286180075,15.376115006540504,-0.5343412796395715,David Gagner,Doug Armstrong,28,72,2.4299999999999997,19.02,10.38,3.44,2.81,1.17,0.74,1.48
Matthew Kessel,STL,D,STD,800000,13.592367006650065,13.956576021060629,0.3642090144105641,Lewis Gross,Doug Armstrong,26,29,0.5,7.1,1.32,0.33,2.48,0.17,3.63,4.29
Nathan Walker,STL,L,STD,775000,13.560618308335483,14.10921987134606,0.5486015630105765,Allan Walsh,Doug Armstrong,32,46,1.2,7.83,5,3.15,2.83,0.33,19.47,3.81
Oskar Sundqvist,STL,C,STD,1500000,14.22097566607244,14.669377843830901,0.4484021777584619,Claude Lemieux,Doug Armstrong,32,52,1.51,6.32,3.11,1.78,2.05,1.07,6.14,2.31
Pavel Buchnevich,STL,L,STD,8000000,15.89495209964411,15.273231729098987,-0.6217203705451233,Mark Gandler & Todd Diamond,Doug Armstrong,31,81,1.9899999999999998,11.56,7.6,3.51,2.73,1.07,1.24,1.65
Philip Broberg,STL,D,STD,4580917,15.337409754389961,14.592273172358906,-0.7451365820310549,Darren Ferris,Doug Armstrong,24,81,1.08,8.02,3.23,0.51,3.52,0.82,1.11,3.11
Pius Suter,STL,C,STD,4125000,15.232576577750919,14.784608163280176,-0.4479684144707434,Georges Mueller,Doug Armstrong,30,64,1.71,10.68,7.02,4.6,2.01,0.77,2.42,1.42
Robert Thomas,STL,C,STD,8125000,15.910456286180075,14.988723845309112,-0.9217324408709633,Craig Oster,Doug Armstrong,26,64,3.15,9.61,6.56,2.81,4.73,1.53,0.49,1.97
Theo Lindstein,STL,D,ELC,918333,13.73031534892457,13.6633681521469,-0.06694719677767047,Peter Wallen,Doug Armstrong,21,17,0.9,11.2,2.69,1.34,2.02,0.22,1.79,3.14
Tyler Tucker,STL,D,STD,925000,13.737549016494562,14.482395311276061,0.7448462947814996,Ryan Barnes,Doug Armstrong,26,69,1.03,9.69,2.66,0.42,3.51,0.79,6.06,3.09
Logan Mailloux,STL,D,ELC,875000,13.681979165339751,14.168363803589315,0.48638463824956446,Darren Ferris,Kent Hughes,23,67,0.7,10.09,2.24,0.75,3.63,0.96,4.97,2.99
Justin Holl,STL,D,STD,3400000,15.03928598958639,14.458836204116784,-0.5804497854696056,Brian & Scott Bartlett,Steve Yzerman,34,9,0.86,6.81,2.55,0.43,1.28,1.7,2.13,2.13
Jack Finley,STL,C,STD,775000,13.560618308335483,13.484110921155297,-0.07650738718018602,J.P. Barry,Julien BriseBois,23,44,0.7,6.32,4.21,2.53,1.69,0.14,10.53,1.26
Conor Geekie,T.B,C,ELC,886666,13.69522364020979,13.24479567632717,-0.4504279638826194,Judd Moldaver,Bill Armstrong,22,14,1.3,9.1,3.47,2.17,4.33,1.3,14.3,2.6
Oliver Bjorkstrand,T.B,R,STD,5400000,15.501909511534503,15.282014505795548,-0.21989500573895526,Peter Fish,Jarmo Kekalainen,31,80,1.7600000000000002,14.63,9.74,3.3,2.09,0.77,4.68,2.15
Anthony Cirelli,T.B,C,STD,6250000,15.648092021712584,14.949618284495383,-0.698473737217201,Patrick Morris,Julien BriseBois,28,71,2.54,10.74,8.15,5.08,2.44,1.22,2.44,2.29
